"","struct_id","Effect","DFn","DFd","F","p","p<.05","ges","p.adj"
"163","ILc_Caudal Group of Intralaminar Nuclei, Right","datasource",1,1082,1696.963,7.38e-224,"*",0.611,3.05532e-221
"164","ILr_Rostral Group of intralaminar Nuclei, Left","datasource",1,1082,1554.043,1.91e-211,"*",0.59,7.9074e-209
"165","ILr_Rostral Group of intralaminar Nuclei, Right","datasource",1,1082,1828.672,9.59e-235,"*",0.628,3.97026e-232
"166","IO_inferior olivary complex, Left","datasource",1,1082,1711.921,4.04e-225,"*",0.613,1.67256e-222
"167","IO_inferior olivary complex, Right","datasource",1,1082,2048.637,7.18e-252,"*",0.654,2.97252e-249
"168","IOG-i_inferior occipital gyrus, Left, inferior bank of gyrus","datasource",1,1082,1533.115,1.43e-209,"*",0.586,5.9202e-207
"169","IOG-i_inferior occipital gyrus, Right, inferior bank of gyrus","datasource",1,1082,1729.279,1.41e-226,"*",0.615,5.8374e-224
"170","IOG-s_inferior occipital gyrus, Left, superior bank of gyrus","datasource",1,1082,1552.498,2.62e-211,"*",0.589,1.08468e-208
"171","IOG-s_inferior occipital gyrus, Right, superior bank of gyrus","datasource",1,1082,1731.038,1.01e-226,"*",0.615,4.1814e-224
"172","IRoG_inferior rostral gyrus, Left","datasource",1,1082,1680.493,1.84e-222,"*",0.608,7.6176e-220
"173","IRoG_inferior rostral gyrus, Right","datasource",1,1082,1738.89,2.23e-227,"*",0.616,9.23219999999999e-225
"174","ITG-its_inferior temporal gyrus, Left, bank of the its","datasource",1,1082,1572.115,4.73e-213,"*",0.592,1.95822e-210
"175","ITG-its_inferior temporal gyrus, Right, bank of the its","datasource",1,1082,1797.275,3.4e-232,"*",0.624,1.4076e-229
"176","ITG-l_inferior temporal gyrus, Left, lateral bank of gyrus","datasource",1,1082,1685.48,6.94e-223,"*",0.609,2.87316e-220
"177","ITG-l_inferior temporal gyrus, Right, lateral bank of gyrus","datasource",1,1082,1801.234,1.62e-232,"*",0.625,6.7068e-230
"178","ITG-mts_inferior temporal gyrus, Left, bank of mts","datasource",1,1082,1657.8,1.6e-220,"*",0.605,6.624e-218
"179","ITG-mts_inferior temporal gyrus, Right, bank of mts","datasource",1,1082,1755.438,9.39e-229,"*",0.619,3.88746e-226
"180","LA_Lateral Nucleus, Left","datasource",1,1082,1793.867,6.46e-232,"*",0.624,2.67444e-229
"181","LA_Lateral Nucleus, Right","datasource",1,1082,1436.998,9.1e-201,"*",0.57,3.7674e-198
"182","LC_locus ceruleus, Left","datasource",1,1082,1484.729,3.51e-205,"*",0.578,1.45314e-202
"183","LC_locus ceruleus, Right","datasource",1,1082,1571.085,5.83e-213,"*",0.592,2.41362e-210
"184","LGd_Dorsal Lateral Geniculate Nucleus, Left","datasource",1,1082,1709.107,6.96e-225,"*",0.612,2.88144e-222
"185","LGd_Dorsal Lateral Geniculate Nucleus, Right","datasource",1,1082,2205.767,2.21e-263,"*",0.671,9.1494e-261
"186","LHA_Lateral hypothalamic area, Left","datasource",1,1082,1598.83,2.09e-215,"*",0.596,8.6526e-213
"187","LHA_Lateral hypothalamic area, Right","datasource",1,1082,1664.986,3.88e-221,"*",0.606,1.60632e-218
"188","LHM_Lateral Hypothalamic Area, Mammillary Region, Left","datasource",1,1082,1810.187,3.02e-233,"*",0.626,1.25028e-230
"189","LHM_Lateral Hypothalamic Area, Mammillary Region, Right","datasource",1,1082,1804.731,8.39e-233,"*",0.625,3.47346e-230
