"","struct_id","Effect","DFn","DFd","F","p","p<.05","ges","p.adj"
"105","EW_Edinger Westphal nucleus, Left","datasource",1,1137,1926.824,5.41e-247,"*",0.629,2.23974e-244
"106","EW_Edinger Westphal nucleus, Right","datasource",1,1137,2152.2,1.58e-264,"*",0.654,6.5412e-262
"107","Fas_Fastigial Nucleus, Left","datasource",1,1137,2037.811,8.77e-256,"*",0.642,3.63078e-253
"108","Fas_Fastigial Nucleus, Right","datasource",1,1137,2072.689,1.76e-258,"*",0.646,7.2864e-256
"109","FP-s_frontal pole, Left, superior aspect","datasource",1,1137,1879.07,4.11e-243,"*",0.623,1.70154e-240
"110","FP-s_frontal pole, Right, superior aspect","datasource",1,1137,1690.572,3.6e-227,"*",0.598,1.4904e-224
"111","FPi_frontal pole, Left, inferior aspect","datasource",1,1137,1835.139,1.73e-239,"*",0.617,7.1622e-237
"112","FPi_frontal pole, Right, inferior aspect","datasource",1,1137,1664.394,7.15e-225,"*",0.594,2.9601e-222
"113","FPm_frontal pole, Left, medial aspect","datasource",1,1137,1625.01,2.25e-221,"*",0.588,9.315e-219
"114","FPm_frontal pole, Right, medial aspect","datasource",1,1137,1603.331,1.99e-219,"*",0.585,8.2386e-217
"115","fro_frontal operculum, Left","datasource",1,1137,1710.846,6.19e-229,"*",0.601,2.56266e-226
"116","fro_frontal operculum, Right","datasource",1,1137,1965.725,4.14e-250,"*",0.634,1.71396e-247
"117","FuG-cos_fusiform gyrus, Left, bank of cos","datasource",1,1137,1625.467,2.05e-221,"*",0.588,8.487e-219
"118","FuG-cos_fusiform gyrus, Right, bank of cos","datasource",1,1137,1915.972,4.07e-246,"*",0.628,1.68498e-243
"119","FuG-its_fusiform gyrus, Left, bank of the its","datasource",1,1137,1695.698,1.29e-227,"*",0.599,5.3406e-225
"120","FuG-its_fusiform gyrus, Right, bank of the its","datasource",1,1137,1865.678,5.17e-242,"*",0.621,2.14038e-239
"121","FuG-l_fusiform gyrus, Left, lateral bank of gyrus","datasource",1,1137,1600.842,3.34e-219,"*",0.585,1.38276e-216
"122","FuG-l_fusiform gyrus, Right, lateral bank of gyrus","datasource",1,1137,1767.693,8.10999999999999e-234,"*",0.609,3.35754e-231
