"","contrast","estimate","SE","df","t.ratio","p.value"
"56","S1C_primary somatosensory cortex (area S1, areas 3,1,2) - A1C_primary auditory cortex (core)",-58.9316666666661,223.107262138639,19120,-0.264140512961187,0.999999999998673
"57","S1C_primary somatosensory cortex (area S1, areas 3,1,2) - STC_posterior (caudal) superior temporal cortex (area 22c)",42.9870833333349,223.107262138639,19120,0.192674514138508,1
"58","S1C_primary somatosensory cortex (area S1, areas 3,1,2) - ITC_inferolateral temporal cortex (area TEv, area 20)",-119.236666666666,223.107262138639,19120,-0.534436510598978,0.999999958313394
"59","S1C_primary somatosensory cortex (area S1, areas 3,1,2) - (V1C_primary visual cortex (striate cortex, area V1/17))",98.1858333333346,223.107262138639,19120,0.440083538259377,0.999999997430153
"60","S1C_primary somatosensory cortex (area S1, areas 3,1,2) - MFC_anterior (rostral) cingulate (medial prefrontal) cortex",-91.5866666666654,223.107262138639,19120,-0.410505089743575,0.999999999062741
"61","S1C_primary somatosensory cortex (area S1, areas 3,1,2) - HIP_hippocampus (hippocampal formation)",-156.5775,223.107262138639,19120,-0.701803690740924,0.999998131701376
"62","S1C_primary somatosensory cortex (area S1, areas 3,1,2) - STR_striatum",-62.9408333333326,223.107262138639,19120,-0.2821101954728,0.999999999996193
"63","S1C_primary somatosensory cortex (area S1, areas 3,1,2) - AMY_amygdaloid complex",-222.0425,223.107262138639,19120,-0.995227577406343,0.999819323594255
"64","S1C_primary somatosensory cortex (area S1, areas 3,1,2) - MD_mediodorsal nucleus of thalamus",-82.8049999999987,223.107262138639,19120,-0.371144350955926,0.999999999784302
"65","S1C_primary somatosensory cortex (area S1, areas 3,1,2) - CBC_cerebellar cortex",-25.7525000000011,223.107262138639,19120,-0.11542654305891,1
"66","IPC_posteroventral (inferior) parietal cortex - A1C_primary auditory cortex (core)",-89.0166666666667,223.107262138639,19120,-0.398985966720132,0.999999999380436
"67","IPC_posteroventral (inferior) parietal cortex - STC_posterior (caudal) superior temporal cortex (area 22c)",12.9020833333344,223.107262138639,19120,0.0578290603795631,1
"68","IPC_posteroventral (inferior) parietal cortex - ITC_inferolateral temporal cortex (area TEv, area 20)",-149.321666666666,223.107262138639,19120,-0.669281964357923,0.999999025479753
"69","IPC_posteroventral (inferior) parietal cortex - (V1C_primary visual cortex (striate cortex, area V1/17))",68.1008333333341,223.107262138639,19120,0.305238084500433,0.999999999987822
"70","IPC_posteroventral (inferior) parietal cortex - MFC_anterior (rostral) cingulate (medial prefrontal) cortex",-121.671666666666,223.107262138639,19120,-0.54535054350252,0.999999944458013
"71","IPC_posteroventral (inferior) parietal cortex - HIP_hippocampus (hippocampal formation)",-186.6625,223.107262138639,19120,-0.836649144499869,0.999980305763316
"72","IPC_posteroventral (inferior) parietal cortex - STR_striatum",-93.0258333333332,223.107262138639,19120,-0.416955649231744,0.999999998824554
"73","IPC_posteroventral (inferior) parietal cortex - AMY_amygdaloid complex",-252.1275,223.107262138639,19120,-1.13007303116529,0.999164574074386
"74","IPC_posteroventral (inferior) parietal cortex - MD_mediodorsal nucleus of thalamus",-112.889999999999,223.107262138639,19120,-0.505989804714871,0.999999980881245
"75","IPC_posteroventral (inferior) parietal cortex - CBC_cerebellar cortex",-55.8375000000017,223.107262138639,19120,-0.250271996817855,0.999999999999575
"76","A1C_primary auditory cortex (core) - STC_posterior (caudal) superior temporal cortex (area 22c)",101.918750000001,223.107262138639,19120,0.456815027099695,0.999999995594966
