"","contrast","estimate","SE","df","t.ratio","p.value"
"58","S1C_primary somatosensory cortex (area S1, areas 3,1,2) - ITC_inferolateral temporal cortex (area TEv, area 20)",17.1166666666666,51.7684566096718,880,0.330638921606729,0.999999999958428
"59","S1C_primary somatosensory cortex (area S1, areas 3,1,2) - (V1C_primary visual cortex (striate cortex, area V1/17))",16.3666666666666,51.7684566096718,880,0.316151334973523,0.999999999978513
"60","S1C_primary somatosensory cortex (area S1, areas 3,1,2) - MFC_anterior (rostral) cingulate (medial prefrontal) cortex",47.5833333333334,51.7684566096718,880,0.919156885284531,0.99993108550643
"61","S1C_primary somatosensory cortex (area S1, areas 3,1,2) - HIP_hippocampus (hippocampal formation)",57.5833333333333,51.7684566096718,880,1.11232470706061,0.9992855258538
"62","S1C_primary somatosensory cortex (area S1, areas 3,1,2) - STR_striatum",61.0333333333333,51.7684566096718,880,1.17896760557336,0.998599186435788
"63","S1C_primary somatosensory cortex (area S1, areas 3,1,2) - AMY_amygdaloid complex",67.9499999999999,51.7684566096718,880,1.31257534896849,0.995429657955093
"64","S1C_primary somatosensory cortex (area S1, areas 3,1,2) - MD_mediodorsal nucleus of thalamus",127.616666666667,51.7684566096718,880,2.46514335223245,0.49866346703641
"65","S1C_primary somatosensory cortex (area S1, areas 3,1,2) - CBC_cerebellar cortex",40.1666666666666,51.7684566096718,880,0.775890750800601,0.999992448577793
"66","IPC_posteroventral (inferior) parietal cortex - A1C_primary auditory cortex (core)",2.94999999999998,51.7684566096718,880,0.0569845074239443,1
"67","IPC_posteroventral (inferior) parietal cortex - STC_posterior (caudal) superior temporal cortex (area 22c)",21.5333333333334,51.7684566096718,880,0.415954709557834,0.999999998808201
"68","IPC_posteroventral (inferior) parietal cortex - ITC_inferolateral temporal cortex (area TEv, area 20)",15.15,51.7684566096718,880,0.292649249990767,0.999999999993119
"69","IPC_posteroventral (inferior) parietal cortex - (V1C_primary visual cortex (striate cortex, area V1/17))",14.4,51.7684566096718,880,0.27816166335756,0.999999999996841
"70","IPC_posteroventral (inferior) parietal cortex - MFC_anterior (rostral) cingulate (medial prefrontal) cortex",45.6166666666667,51.7684566096718,880,0.881167213668569,0.99995986448768
"71","IPC_posteroventral (inferior) parietal cortex - HIP_hippocampus (hippocampal formation)",55.6166666666666,51.7684566096718,880,1.07433503544465,0.999526696041754
"72","IPC_posteroventral (inferior) parietal cortex - STR_striatum",59.0666666666666,51.7684566096718,880,1.1409779339574,0.99903857062332
"73","IPC_posteroventral (inferior) parietal cortex - AMY_amygdaloid complex",65.9833333333333,51.7684566096718,880,1.27458567735252,0.996665573400511
"74","IPC_posteroventral (inferior) parietal cortex - MD_mediodorsal nucleus of thalamus",125.65,51.7684566096718,880,2.42715368061649,0.527425839324765
"75","IPC_posteroventral (inferior) parietal cortex - CBC_cerebellar cortex",38.2,51.7684566096718,880,0.737901079184639,0.999996151068642
"76","A1C_primary auditory cortex (core) - STC_posterior (caudal) superior temporal cortex (area 22c)",18.5833333333334,51.7684566096718,880,0.358970202133889,0.999999999860833
"77","A1C_primary auditory cortex (core) - ITC_inferolateral temporal cortex (area TEv, area 20)",12.2,51.7684566096718,880,0.235664742566822,1
"78","A1C_primary auditory cortex (core) - (V1C_primary visual cortex (striate cortex, area V1/17))",11.45,51.7684566096718,880,0.221177155933616,1
"79","A1C_primary auditory cortex (core) - MFC_anterior (rostral) cingulate (medial prefrontal) cortex",42.6666666666667,51.7684566096718,880,0.824182706244624,0.99998319515589
"80","A1C_primary auditory cortex (core) - HIP_hippocampus (hippocampal formation)",52.6666666666666,51.7684566096718,880,1.01735052802071,0.999755216320202
"81","A1C_primary auditory cortex (core) - STR_striatum",56.1166666666667,51.7684566096718,880,1.08399342653345,0.999473388398299
"82","A1C_primary auditory cortex (core) - AMY_amygdaloid complex",63.0333333333333,51.7684566096718,880,1.21760116992858,0.997984757297147
"83","A1C_primary auditory cortex (core) - MD_mediodorsal nucleus of thalamus",122.7,51.7684566096719,880,2.37016917319254,0.570795144440917
"84","A1C_primary auditory cortex (core) - CBC_cerebellar cortex",35.25,51.7684566096718,880,0.680916571760695,0.999998710873225
"85","STC_posterior (caudal) superior temporal cortex (area 22c) - ITC_inferolateral temporal cortex (area TEv, area 20)",-6.38333333333333,51.7684566096719,880,-0.123305459567067,1
"86","STC_posterior (caudal) superior temporal cortex (area 22c) - (V1C_primary visual cortex (striate cortex, area V1/17))",-7.13333333333335,51.7684566096718,880,-0.137793046200273,1
"87","STC_posterior (caudal) superior temporal cortex (area 22c) - MFC_anterior (rostral) cingulate (medial prefrontal) cortex",24.0833333333334,51.7684566096719,880,0.465212504110735,0.999999993992464
"88","STC_posterior (caudal) superior temporal cortex (area 22c) - HIP_hippocampus (hippocampal formation)",34.0833333333333,51.7684566096719,880,0.658380325886816,0.999999188624922
"89","STC_posterior (caudal) superior temporal cortex (area 22c) - STR_striatum",37.5333333333333,51.7684566096718,880,0.725023224399566,0.999996966609249
"90","STC_posterior (caudal) superior temporal cortex (area 22c) - AMY_amygdaloid complex",44.4499999999999,51.7684566096719,880,0.85863096779469,0.999971300364668
"91","STC_posterior (caudal) superior temporal cortex (area 22c) - MD_mediodorsal nucleus of thalamus",104.116666666667,51.7684566096719,880,2.01119897105865,0.818716047548342
"92","STC_posterior (caudal) superior temporal cortex (area 22c) - CBC_cerebellar cortex",16.6666666666666,51.7684566096718,880,0.321946369626805,0.999999999971929
"93","ITC_inferolateral temporal cortex (area TEv, area 20) - (V1C_primary visual cortex (striate cortex, area V1/17))",-0.750000000000018,51.7684566096719,880,-0.0144875866332066,1
"94","ITC_inferolateral temporal cortex (area TEv, area 20) - MFC_anterior (rostral) cingulate (medial prefrontal) cortex",30.4666666666667,51.7684566096719,880,0.588517963677802,0.999999829724778
"95","ITC_inferolateral temporal cortex (area TEv, area 20) - HIP_hippocampus (hippocampal formation)",40.4666666666666,51.7684566096719,880,0.781685785453883,0.999991660795929
"96","ITC_inferolateral temporal cortex (area TEv, area 20) - STR_striatum",43.9166666666666,51.7684566096719,880,0.848328683966632,0.999975473685471
"97","ITC_inferolateral temporal cortex (area TEv, area 20) - AMY_amygdaloid complex",50.8333333333333,51.7684566096719,880,0.981936427361756,0.999841861023881
"98","ITC_inferolateral temporal cortex (area TEv, area 20) - MD_mediodorsal nucleus of thalamus",110.5,51.7684566096719,880,2.13450443062572,0.742278777191152
"99","ITC_inferolateral temporal cortex (area TEv, area 20) - CBC_cerebellar cortex",23.05,51.7684566096718,880,0.445251829193872,0.999999996807492
"100","(V1C_primary visual cortex (striate cortex, area V1/17)) - MFC_anterior (rostral) cingulate (medial prefrontal) cortex",31.2166666666667,51.7684566096719,880,0.603005550311008,0.999999760607975
"101","(V1C_primary visual cortex (striate cortex, area V1/17)) - HIP_hippocampus (hippocampal formation)",41.2166666666666,51.7684566096719,880,0.79617337208709,0.999989354917265
"102","(V1C_primary visual cortex (striate cortex, area V1/17)) - STR_striatum",44.6666666666666,51.7684566096718,880,0.862816270599839,0.999969429738098
"103","(V1C_primary visual cortex (striate cortex, area V1/17)) - AMY_amygdaloid complex",51.5833333333333,51.7684566096719,880,0.996424013994963,0.999810415240996
"104","(V1C_primary visual cortex (striate cortex, area V1/17)) - MD_mediodorsal nucleus of thalamus",111.25,51.7684566096719,880,2.14899201725893,0.732518690700798
"105","(V1C_primary visual cortex (striate cortex, area V1/17)) - CBC_cerebellar cortex",23.8,51.7684566096718,880,0.459739415827079,0.999999994933594
"106","MFC_anterior (rostral) cingulate (medial prefrontal) cortex - HIP_hippocampus (hippocampal formation)",9.99999999999989,51.7684566096719,880,0.193167821776081,1
"107","MFC_anterior (rostral) cingulate (medial prefrontal) cortex - STR_striatum",13.4499999999999,51.7684566096719,880,0.25981072028883,0.999999999998928
"108","MFC_anterior (rostral) cingulate (medial prefrontal) cortex - AMY_amygdaloid complex",20.3666666666666,51.7684566096719,880,0.393418463683955,0.99999999946968
"109","MFC_anterior (rostral) cingulate (medial prefrontal) cortex - MD_mediodorsal nucleus of thalamus",80.0333333333333,51.7684566096719,880,1.54598646694792,0.976741262677183
"110","MFC_anterior (rostral) cingulate (medial prefrontal) cortex - CBC_cerebellar cortex",-7.41666666666674,51.7684566096718,880,-0.14326613448393,1
"111","HIP_hippocampus (hippocampal formation) - STR_striatum",3.45000000000001,51.7684566096719,880,0.066642898512749,1
"112","HIP_hippocampus (hippocampal formation) - AMY_amygdaloid complex",10.3666666666667,51.7684566096719,880,0.200250641907873,1
"113","HIP_hippocampus (hippocampal formation) - MD_mediodorsal nucleus of thalamus",70.0333333333334,51.7684566096719,880,1.35281864517184,0.993723285626343
"114","HIP_hippocampus (hippocampal formation) - CBC_cerebellar cortex",-17.4166666666666,51.7684566096718,880,-0.336433956260011,0.999999999946271
"115","STR_striatum - AMY_amygdaloid complex",6.91666666666666,51.7684566096719,880,0.133607743395124,1
"116","STR_striatum - MD_mediodorsal nucleus of thalamus",66.5833333333334,51.7684566096719,880,1.28617574665909,0.996322745671905
"117","STR_striatum - CBC_cerebellar cortex",-20.8666666666666,51.7684566096718,880,-0.40307685477276,0.999999999245242
"118","AMY_amygdaloid complex - MD_mediodorsal nucleus of thalamus",59.6666666666667,51.7684566096719,880,1.15256800326397,0.998919381236042
"119","AMY_amygdaloid complex - CBC_cerebellar cortex",-27.7833333333333,51.7684566096718,880,-0.536684598167885,0.999999953656004
"120","MD_mediodorsal nucleus of thalamus - CBC_cerebellar cortex",-87.45,51.7684566096718,880,-1.68925260143185,0.949432448840304
