"","MD Thalamus - R2"
"ZNF496",0.996284532130443
"NOV",0.996284507597908
"TOPBP1",0.996264354710913
"C10orf82",0.996256584367941
"GPRASP2",0.996251909033367
"FN1",0.996249112758837
"MAPKAPK3",0.996247539447393
"MPP3",0.996236905003452
"NUDT14",0.996183071052987
"RALGAPB",0.99615633757217
"IGFBP5",0.996142411992543
"CTNND1",0.996130655460056
"TCEAL6",0.996106812439491
"SYNDIG1L",0.996092988731176
"BCL11A",0.996082583723446
"TTLL11",0.996076761872136
"NAPA",0.996071986818618
"TTLL1",0.996033045060768
"PKNOX1",0.996016826955703
"SMURF2",0.995989662818672
"NAV1",0.99598792594553
"GPR39",0.99596690994353
"SLC36A4",0.995966549661252
"ZFHX3",0.995956033662703
"KIAA2022",0.995939174023874
"ATF7IP",0.995928783931735
"C12orf43",0.995919743790749
"ZNF738",0.995898846549865
"ALYREF",0.995893425714383
"PDIK1L",0.995887802231475
"HSD11B1",0.995882440600697
"RASGEF1A",0.995832479730583
"GNG4",0.995805813576074
"GABPB1",0.99580206929499
"STAG1",0.995753990651654
"SLC1A3",0.995729288927284
"KCNIP3",0.995710458416073
"HNRNPA1L2",0.995700869814519
"C14orf132",0.99569683986797
"CABLES1",0.995689959886815
"BAP1",0.995675133884006
"MYPOP",0.995667535703716
"PGBD1",0.995657985017205
"SEPT8",0.995650753314179
"PIP4K2C",0.995649138645063
"TMEM18",0.995640704392753
"ZBTB25",0.995634656046918
"NCOA6",0.995583522475768
"XPR1",0.995565074539678
"ABTB1",0.995544208442361
"EPHA7",0.995484382135452
"CXADR",0.99547079637024
"PON2",0.995435468899782
"MTSS1",0.995357704012719
"DAAM1",0.995353211813904
"C20orf112",0.995344446269294
"MT2A",0.99532629565443
"ERCC5",0.995317865776407
"IL17RD",0.995298162312483
"RITA1",0.995268641056981
"PGM1",0.995258772806997
"MLST8",0.995247799833003
"USP2",0.995237094209071
"TRIM13",0.995223372786197
"TM6SF1",0.995219233336058
"EVC",0.995212302355988
"MAOB",0.995194830943766
"ALDH4A1",0.995160687306687
"CPT1A",0.995154069056527
"PPFIA2",0.99515120004248
"FOXRED1",0.995147981241298
"PDE7B",0.99513487154131
"DIO2",0.995106017074266
"CCNF",0.995085002496895
"TMEM159",0.9950319384405
"MLF2",0.994958787741804
"ARHGAP31",0.994887646833662
"HDAC11",0.9948782653204
"SCG2",0.994851571750309
"B3GALNT2",0.994796033325277
"LHX9",0.994777391693086
"MTUS2",0.994775241733782
"TXNDC16",0.99476875893477
"FKBP1C",0.994753370552164
"SLC39A10",0.994752464916977
"IGSF3",0.994676297969308
"NUP153",0.994669082140592
"MEST",0.994662712793108
"EXOC6B",0.994623878676524
"RNF19B",0.994607714225832
"RTN4RL2",0.99454481823778
"ADI1",0.994529146786769
"C14orf159",0.99450821594125
"SMARCAD1",0.99449023000618
"TRIM33",0.994477559962887
"DCLK1",0.99446115100273
"PTPRD",0.99444702177961
"CTTNBP2NL",0.994444249191497
"NFAT5",0.994425551060831
"FGD1",0.994423261681612
"CLASP2",0.994421101125037
"RAB15",0.994410935668612
"SAMD5",0.994410237167803
"FSTL1",0.994377295550301
"RGMB",0.994375112222139
"CPE",0.994360798962851
"RNGTT",0.994352899394514
"PEG10",0.994336465660256
"RRN3",0.994330945732692
"DERL1",0.994301859160125
"FASTK",0.994269485432958
"MGMT",0.994194782295749
"KCNJ10",0.994186461855321
"FAM102A",0.994176577694569
"NFIA",0.994139892044843
"PHKB",0.994106877644132
"STK35",0.994052707815962
"TRIM52",0.994016061517019
"PDZD8",0.994003406874451
"ISOC2",0.993999362304508
"NUP155",0.993993696028598
"STX6",0.993958895245713
"GPR12",0.993918272897806
"TTC13",0.993894567488137
"SCN3A",0.993888799540666
"GUCA1A",0.993880835558926
"FIGN",0.99386622707096
"EIF3F",0.993865243759259
"RHBDL3",0.993864715978855
"NETO2",0.993864050108818
"KITLG",0.99385424192766
"SLC20A1",0.993825130801599
"ALDH18A1",0.99379159733708
"HNRNPA0",0.99370424671384
"IP6K2",0.993646690217277
"CREBZF",0.99364358893478
"ABHD11",0.993623450642918
"CCDC23",0.993612597816183
"CCDC112",0.993603109018891
"TMEM205",0.993602543781561
"TRIT1",0.993585492923901
"GPR37L1",0.993582667842497
"RBM38",0.993557806448798
"GLS2",0.993543602221091
"PPAPDC2",0.993507332825279
"DHDDS",0.993494983310685
"UPF2",0.993461502732219
"POLR2B",0.993453694667
"SUMF2",0.993450094257261
"PBXIP1",0.993440964985195
"PIN1",0.993406144195845
"TBC1D10A",0.99339915851799
"AUTS2",0.993395582336434
"PODXL",0.993383801129895
"GPRIN2",0.993379609333292
"WBSCR22",0.993359048092937
"ENPP2",0.993358402609569
"PPP2R2B",0.993351379011935
"ZNF704",0.993311481718584
"SLC6A15",0.993253047784567
